E, cm-1	Sigma_00, cm2	Sigma_01, cm2	Sigma_10, cm2	Sigma_11, cm2	
9.308950e+04	2.245187e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.308961e+04	2.214146e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.308972e+04	2.183065e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.308983e+04	2.152160e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.308994e+04	2.366291e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309006e+04	2.345440e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309018e+04	2.323380e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309031e+04	2.300216e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309043e+04	2.276086e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309056e+04	2.251167e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309070e+04	2.225656e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309083e+04	2.199781e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309097e+04	2.339257e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309112e+04	2.322646e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309126e+04	2.305175e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309141e+04	2.286882e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309156e+04	2.267813e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309172e+04	2.248052e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309188e+04	2.328499e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309204e+04	2.316764e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309221e+04	2.304291e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309238e+04	2.291042e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309256e+04	2.277005e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309273e+04	2.262191e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309292e+04	2.308851e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309311e+04	2.299676e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309330e+04	2.289987e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309349e+04	2.279764e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309370e+04	2.268974e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309390e+04	2.257590e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309411e+04	2.245595e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309433e+04	2.232999e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309455e+04	2.219829e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309477e+04	2.206130e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309500e+04	2.191970e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309524e+04	2.177434e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309548e+04	2.236220e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309573e+04	2.225897e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309598e+04	2.215047e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309624e+04	2.203704e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309651e+04	2.191917e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309678e+04	2.231646e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309706e+04	2.223312e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309734e+04	2.214473e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309763e+04	2.205139e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309793e+04	2.195331e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309823e+04	2.222917e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309854e+04	2.215668e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309886e+04	2.207978e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309919e+04	2.199854e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309952e+04	2.216644e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.309987e+04	2.210636e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.310021e+04	2.204238e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.310057e+04	2.197459e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.310094e+04	2.190306e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.310131e+04	2.182784e-14	0.000000e+00	0.000000e+00	0.000000e+00
