E, cm-1	Sigma_00, cm2	Sigma_01, cm2	Sigma_10, cm2	Sigma_11, cm2	
9.362494e+04	2.313350e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362505e+04	2.273863e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362516e+04	2.234712e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362527e+04	2.196138e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362538e+04	2.455294e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362550e+04	2.426832e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362562e+04	2.397315e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362575e+04	2.366869e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362587e+04	2.335662e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362600e+04	2.303884e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362614e+04	2.271783e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362627e+04	2.239593e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362641e+04	2.410907e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362656e+04	2.388849e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362670e+04	2.365797e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362685e+04	2.341830e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362700e+04	2.317049e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362716e+04	2.291598e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362732e+04	2.394420e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362748e+04	2.378106e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362765e+04	2.360942e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362782e+04	2.342913e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362800e+04	2.324043e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362817e+04	2.304384e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362836e+04	2.368125e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362855e+04	2.355558e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362874e+04	2.342334e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362893e+04	2.328410e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362914e+04	2.313773e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362934e+04	2.298428e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362955e+04	2.282409e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362977e+04	2.265764e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.362999e+04	2.248567e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363021e+04	2.230917e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363044e+04	2.212919e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363068e+04	2.194674e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363092e+04	2.268445e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363117e+04	2.254757e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363142e+04	2.240526e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363168e+04	2.225823e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363195e+04	2.210712e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363222e+04	2.259335e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363250e+04	2.248347e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363278e+04	2.236791e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363307e+04	2.224694e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363337e+04	2.212097e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363367e+04	2.245420e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363398e+04	2.235769e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363430e+04	2.225647e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363463e+04	2.215089e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363496e+04	2.237189e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363531e+04	2.229024e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363565e+04	2.220466e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363601e+04	2.211496e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363638e+04	2.202114e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363675e+04	2.192364e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363714e+04	2.182288e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363753e+04	2.171929e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363793e+04	2.161349e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363834e+04	2.187634e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363876e+04	2.178817e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363919e+04	2.169749e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.363963e+04	2.160467e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.364008e+04	2.179511e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.364054e+04	2.171981e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.364101e+04	2.164208e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.364150e+04	2.175827e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.364199e+04	2.169510e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.364249e+04	2.162964e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.364301e+04	2.156198e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.364354e+04	2.164859e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.364408e+04	2.159186e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.364464e+04	2.153281e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.364520e+04	2.147157e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.364578e+04	2.140822e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.364638e+04	2.134263e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.364698e+04	2.127472e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.364760e+04	2.136966e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.364824e+04	2.130940e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.364889e+04	2.124686e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.364956e+04	2.131230e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.365024e+04	2.125630e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.365094e+04	2.119822e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.365165e+04	2.124537e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.365238e+04	2.119235e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.365313e+04	2.113755e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.365389e+04	2.117074e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.365467e+04	2.112132e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.365548e+04	2.107067e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.365629e+04	2.101896e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.365713e+04	2.096611e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.365799e+04	2.091199e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.365887e+04	2.095105e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.365977e+04	2.090257e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.366069e+04	2.085310e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.366163e+04	2.088090e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.366259e+04	2.083592e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.366358e+04	2.084885e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.366458e+04	2.080743e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.366561e+04	2.076469e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.366667e+04	2.077154e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.366775e+04	2.073122e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.366886e+04	2.068972e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.366999e+04	2.064691e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.367114e+04	2.060273e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.367233e+04	2.061590e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.367354e+04	2.057408e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.367478e+04	2.058012e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.367605e+04	2.054074e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.367735e+04	2.053841e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.367868e+04	2.050165e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.368004e+04	2.046415e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.368143e+04	2.045990e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.368285e+04	2.042421e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.368431e+04	2.038750e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.368580e+04	2.034940e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.368733e+04	2.034661e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.368889e+04	2.030979e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.369048e+04	2.030438e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.369212e+04	2.026751e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.369379e+04	2.025824e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.369550e+04	2.022343e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.369726e+04	2.021035e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.369905e+04	2.017702e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.370088e+04	2.014320e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.370276e+04	2.010879e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.370468e+04	2.009981e-14	0.000000e+00	0.000000e+00	0.000000e+00
9.370664e+04	2.006719e-14	0.000000e+00	0.000000e+00	0.000000e+00
